# Scene precison and perplexity along time
0.50,18.13
0.59,15.05
0.64,13.52
0.66,12.56
0.67,11.10
0.68,10.50
0.68,10.47
0.68,10.74
0.71,11.18
0.72,11.43
0.72,11.43
0.82,10.08
0.81,9.72
0.81,10.06
0.79,10.85
0.73,11.34
0.72,10.39
0.69,9.77
0.69,9.83
0.68,9.97
0.66,10.11
0.65,10.95
0.62,11.55
0.61,11.44
0.62,11.32
0.62,13.81
0.49,14.86
0.46,12.84
0.47,12.37
0.47,11.82
0.46,11.25
0.51,14.34
0.46,20.79
0.42,22.35
0.42,22.21
0.42,22.41
0.42,21.70
0.43,20.37
0.46,20.72
0.48,20.80
0.49,20.67
0.51,20.51
0.56,16.30
0.55,9.77
0.54,9.76
0.52,9.85
0.49,10.12
0.46,11.67
0.47,15.10
0.41,22.08
0.35,24.35
0.32,24.30
0.31,22.96
0.32,21.58
0.41,18.61
0.50,16.41
0.53,17.55
0.52,17.95
0.54,17.22
0.56,15.99
0.33,32.29
0.26,33.12
0.25,34.42
0.25,34.80
0.24,34.05
0.24,33.37
0.24,32.88
0.25,33.65
0.25,33.99
0.25,34.00
0.26,34.23
0.30,33.99
0.30,33.65
0.31,33.81
0.44,28.68
0.49,25.99
0.49,26.35
0.59,19.52
0.62,12.52
0.64,12.27
0.65,12.09
0.67,12.01
0.69,11.88
0.71,12.30
0.67,14.08
0.62,15.66
0.68,12.12
0.67,11.85
0.69,12.76
0.80,12.38
0.80,11.99
0.86,11.07
0.87,11.39
0.85,11.79
0.82,11.40
0.81,11.02
0.82,10.52
0.79,10.03
0.70,9.46
0.65,9.18
0.64,9.02
0.62,8.89
0.59,8.66
0.57,8.45
0.55,8.40
0.54,8.39
0.54,8.41
0.53,8.42
0.54,8.42
0.54,8.31
0.54,8.32
0.55,8.32
0.55,8.29
0.56,8.31
0.59,8.34
0.62,8.31
0.63,8.23
0.65,8.16
0.67,8.09
0.67,8.05
0.67,8.01
0.67,7.99
0.69,7.97
0.70,7.79
0.69,7.73
0.68,7.74
0.67,7.78
0.66,7.82
0.66,7.88
0.67,10.51
0.65,13.59
0.60,17.64
0.47,24.50
0.44,25.97
0.42,26.48
0.39,27.65
0.35,28.86
0.32,29.75
0.30,30.55
0.34,30.30
0.41,30.11
0.53,27.44
0.79,14.67
0.77,14.74
0.77,14.28
0.77,24.04
0.70,27.93
0.70,27.75
0.70,27.57
0.76,25.03
0.79,21.33
0.79,20.06
0.78,19.57
0.80,19.11
0.77,19.64
0.79,16.32
0.68,16.89
0.58,18.56
0.50,19.65
0.42,24.29
0.35,28.94
0.29,33.18
0.25,35.85
0.23,37.50
0.22,39.10
0.21,40.29
0.21,41.39
0.20,42.35
0.20,41.64
0.21,40.71
0.21,39.54
0.22,39.77
0.22,40.02
0.23,40.26
0.23,38.91
0.23,37.02
0.23,33.93
0.23,30.60
0.23,30.65
0.23,30.78
0.23,30.88
0.24,28.27
0.25,24.65
0.25,20.40
0.26,19.89
0.27,19.96
0.29,19.68
0.30,18.73
0.31,20.12
0.35,22.38
0.38,23.93
0.39,24.38
0.42,24.73
0.49,23.89
0.50,20.12
0.50,20.41
0.51,20.72
0.49,24.39
0.36,26.29
0.34,24.52
0.30,24.82
0.29,24.58
0.29,24.41
0.30,23.90
0.30,23.37
0.30,23.33
0.31,23.27
0.35,22.70
0.50,19.44
0.58,13.59
0.60,12.92
0.63,12.31
0.65,12.12
0.68,10.97
0.70,9.93
0.70,9.90
0.70,9.87
0.75,10.82
0.78,11.50
0.82,11.39
0.82,11.28
0.82,11.41
0.80,11.48
0.75,11.49
0.73,11.64
0.74,11.56
0.75,11.75
0.74,11.32
0.69,11.58
0.66,11.92
0.63,11.81
0.65,11.95
0.68,12.16
0.76,12.07
0.83,11.65
0.86,11.36
0.86,10.68
0.86,10.32
0.82,9.49
0.75,10.13
0.69,11.79
0.68,12.64
0.68,12.94
0.69,13.18
0.70,13.52
0.70,13.89
0.70,14.68
0.53,22.18
0.37,24.98
0.34,25.44
0.31,23.27
0.31,23.33
0.31,24.59
0.32,25.05
0.32,25.01
0.34,27.24
0.36,29.66
0.38,31.20
0.41,32.36
0.41,32.31
0.41,32.07
0.42,30.95
0.41,29.14
0.39,27.23
0.37,26.71
0.37,23.38
0.39,16.12
0.39,17.42
0.40,17.59
0.40,17.87
0.40,18.25
0.40,18.17
0.42,18.28
0.45,18.34
0.48,18.20
0.53,18.88
0.54,20.15
0.54,20.38
0.55,21.11
0.56,21.91
0.58,22.47
0.58,22.84
0.59,25.18
0.57,27.11
0.56,27.38
0.55,27.61
0.55,27.45
0.55,27.10
0.55,27.09
0.56,27.15
0.58,26.80
0.59,26.71
0.62,24.40
0.62,19.90
0.64,19.35
0.66,18.83
0.68,17.99
0.71,17.03
0.73,16.28
0.76,15.49
0.77,15.81
0.79,15.97
0.78,27.56
0.68,42.53
0.56,55.38
0.52,60.36
0.48,65.26
0.43,71.02
0.44,70.09
0.44,70.01
0.43,70.76
0.43,71.59
0.46,66.49
0.53,56.45
0.60,44.02
0.63,37.85
0.67,30.94
0.68,20.53
0.68,20.08
0.66,20.12
0.64,20.21
0.62,20.79
0.60,21.27
0.59,23.45
0.59,24.08
0.60,23.73
0.60,23.38
0.60,23.40
0.60,23.40
0.60,22.98
0.60,22.77
0.59,21.89
0.57,24.27
0.55,26.84
0.50,33.63
0.50,35.75
0.50,36.05
0.50,36.13
0.49,36.18
0.49,36.17
0.49,36.19
0.49,36.56
0.51,34.50
0.55,29.27
0.60,18.81
0.62,14.91
0.65,14.18
0.70,13.66
0.75,13.57
0.76,13.88
0.76,13.55
0.76,13.50
0.78,13.23
0.81,12.52
0.80,12.47
0.75,12.77
0.71,12.93
0.68,13.03
0.66,13.10
0.67,17.02
0.61,27.04
0.49,34.89
0.42,36.77
0.40,35.80
0.40,35.37
0.39,33.76
0.38,32.64
0.38,32.14
0.39,31.60
0.40,30.47
0.44,28.37
0.51,25.07
0.57,21.86
0.56,21.46
0.52,25.44
0.51,29.08
0.46,31.94
0.42,37.55
0.37,43.58
0.34,48.30
0.32,48.59
0.31,49.20
0.30,49.63
0.30,51.17
0.31,51.19
0.31,50.88
0.33,51.81
0.35,48.89
0.39,42.31
0.45,31.41
0.52,23.92
0.56,15.28
0.57,14.35
0.57,13.61
0.56,12.74
0.54,14.02
0.51,17.14
0.49,17.82
0.50,17.52
0.51,17.19
0.51,16.94
0.52,16.77
0.53,16.73
0.56,16.70
0.60,16.82
0.65,14.82
0.73,12.03
0.79,11.94
0.82,12.53
0.83,12.86
0.84,12.43
0.83,10.88
0.83,10.92
0.82,12.12
0.81,12.51
0.79,12.49
0.74,12.45
0.69,12.38
0.65,12.27
0.64,12.27
0.63,12.29
0.63,12.26
0.61,12.10
0.59,11.39
0.57,11.17
0.56,11.30
0.56,11.48
0.57,11.59
0.59,11.56
0.60,11.76
0.60,11.77
0.60,11.60
0.60,11.38
0.60,11.15
0.61,10.85
0.61,10.50
